2025-05-13 14:50:19,663 - root - INFO - Starting sequential batch processing
2025-05-13 14:50:19,664 - root - INFO - Processing notch 1 of 1
2025-05-13 14:50:19,664 - root - INFO - Processing notch: Notch_01
2025-05-13 14:50:19,674 - root - INFO - Found 21 cycles in C:/Users/alext/OneDrive/Documents/UROP25/data/OneDrive_2025-05-09/PH_17-4_sorted/Notch_01
2025-05-13 14:50:19,674 - root - INFO - Generated 12 parameter combinations
2025-05-13 14:50:19,679 - root - INFO - Generated configuration for cycle 0 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:19,684 - root - INFO - Generated configuration for cycle 0 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:19,690 - root - INFO - Generated configuration for cycle 0 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:19,696 - root - INFO - Generated configuration for cycle 0 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:19,700 - root - INFO - Generated configuration for cycle 0 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:19,706 - root - INFO - Generated configuration for cycle 0 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:19,711 - root - INFO - Generated configuration for cycle 0 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:19,715 - root - INFO - Generated configuration for cycle 0 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:19,721 - root - INFO - Generated configuration for cycle 0 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:19,727 - root - INFO - Generated configuration for cycle 0 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:19,732 - root - INFO - Generated configuration for cycle 0 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:19,737 - root - INFO - Generated configuration for cycle 0 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:19,743 - root - INFO - Generated configuration for cycle 1 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:19,748 - root - INFO - Generated configuration for cycle 1 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:19,753 - root - INFO - Generated configuration for cycle 1 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:19,758 - root - INFO - Generated configuration for cycle 1 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:19,763 - root - INFO - Generated configuration for cycle 1 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:19,769 - root - INFO - Generated configuration for cycle 1 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:19,775 - root - INFO - Generated configuration for cycle 1 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:19,780 - root - INFO - Generated configuration for cycle 1 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:19,785 - root - INFO - Generated configuration for cycle 1 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:19,789 - root - INFO - Generated configuration for cycle 1 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:19,796 - root - INFO - Generated configuration for cycle 1 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:19,800 - root - INFO - Generated configuration for cycle 1 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:19,806 - root - INFO - Generated configuration for cycle 2 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:19,811 - root - INFO - Generated configuration for cycle 2 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:19,817 - root - INFO - Generated configuration for cycle 2 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:19,822 - root - INFO - Generated configuration for cycle 2 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:19,827 - root - INFO - Generated configuration for cycle 2 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:19,833 - root - INFO - Generated configuration for cycle 2 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:19,838 - root - INFO - Generated configuration for cycle 2 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:19,843 - root - INFO - Generated configuration for cycle 2 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:19,849 - root - INFO - Generated configuration for cycle 2 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:19,854 - root - INFO - Generated configuration for cycle 2 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:19,860 - root - INFO - Generated configuration for cycle 2 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:19,866 - root - INFO - Generated configuration for cycle 2 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:19,872 - root - INFO - Generated configuration for cycle 3 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:19,876 - root - INFO - Generated configuration for cycle 3 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:19,882 - root - INFO - Generated configuration for cycle 3 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:19,887 - root - INFO - Generated configuration for cycle 3 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:19,893 - root - INFO - Generated configuration for cycle 3 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:19,898 - root - INFO - Generated configuration for cycle 3 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:19,903 - root - INFO - Generated configuration for cycle 3 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:19,908 - root - INFO - Generated configuration for cycle 3 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:19,913 - root - INFO - Generated configuration for cycle 3 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:19,919 - root - INFO - Generated configuration for cycle 3 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:19,923 - root - INFO - Generated configuration for cycle 3 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:19,928 - root - INFO - Generated configuration for cycle 3 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:19,934 - root - INFO - Generated configuration for cycle 4 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:19,939 - root - INFO - Generated configuration for cycle 4 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:19,945 - root - INFO - Generated configuration for cycle 4 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:19,950 - root - INFO - Generated configuration for cycle 4 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:19,956 - root - INFO - Generated configuration for cycle 4 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:19,961 - root - INFO - Generated configuration for cycle 4 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:19,966 - root - INFO - Generated configuration for cycle 4 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:19,972 - root - INFO - Generated configuration for cycle 4 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:19,978 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:19,983 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:19,988 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:19,993 - root - INFO - Generated configuration for cycle 4 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:19,999 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,004 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,010 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,015 - root - INFO - Generated configuration for cycle 5 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,021 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,027 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,032 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,037 - root - INFO - Generated configuration for cycle 5 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,042 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,047 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,053 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,057 - root - INFO - Generated configuration for cycle 5 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,063 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,069 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,074 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,079 - root - INFO - Generated configuration for cycle 6 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,084 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,089 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,094 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,100 - root - INFO - Generated configuration for cycle 6 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,106 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=2, VSG=4
2025-05-13 14:50:20,111 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=2, VSG=6
2025-05-13 14:50:20,116 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=3, VSG=6
2025-05-13 14:50:20,120 - root - INFO - Generated configuration for cycle 6 with parameters: subset=29, step=3, VSG=9
2025-05-13 14:50:20,126 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=2, VSG=4
2025-05-13 14:50:20,133 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=2, VSG=6
2025-05-13 14:50:20,138 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=3, VSG=6
2025-05-13 14:50:20,143 - root - INFO - Generated configuration for cycle 7 with parameters: subset=23, step=3, VSG=9
2025-05-13 14:50:20,148 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=2, VSG=4
2025-05-13 14:50:20,154 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=2, VSG=6
2025-05-13 14:50:20,159 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=3, VSG=6
2025-05-13 14:50:20,165 - root - INFO - Generated configuration for cycle 7 with parameters: subset=25, step=3, VSG=9
2025-05-13 14:50:20,169 - root - INFO - Generated configuration for cycle 7 with parameters: subset=29, step=2, VSG=4
